Q1 | id=107 | 布施度的核心精神是什么？布施的最高境界是什么？
Q2 | id=108 | 持戒度的三种差别（三种戒）是什么？
Q3 | id=109 | 忍辱度的三种差别中，"谛察法忍"是指什么？
Q4 | id=110 | 关于"精进度"，《广论》中破除了哪些错误的精进？
Q5 | id=115 | 《广论》止观部分的核心观点是什么？
Q6 | id=122 | 正论的四门结构中，为什么把"造者殊胜"放在第一位而不是直接讲法？
Q7 | id=123 | 《广论》正论四门中，"听闻讲说轨理"这一部分主要解决什么问题？
Q8 | id=124 | 正论四门中的"引导学徒之次第"分为几个层次？每个层次的核心目标是什么？
Q9 | id=125 | 正论四门之间是独立的四个部分，没有逻辑联系。
Q10 | id=126 | 宗喀巴大师在正论中先讲"听闻讲说轨理"，再进入修行内容。从修行角度看，这个安排的深意是什么？
Q11 | id=446 | 布施度的核心是什么？
Q12 | id=447 | 布施分为哪几种？
Q13 | id=448 | 经济困难的人没法做财施所以不能修布施度。
Q14 | id=449 | 布施时应该有什么心态？
Q15 | id=450 | 修布施度有什么利益？
Q16 | id=451 | 持戒度的核心是什么？
Q17 | id=452 | 菩萨戒包括哪些内容？
Q18 | id=453 | 持戒是束缚自由——不受戒更自由。
Q19 | id=454 | 持戒跟忍辱有什么关系？
Q20 | id=455 | 持戒有什么利益？
Q21 | id=456 | 忍辱度的核心是什么？
Q22 | id=457 | 忍辱分为哪三种？
Q23 | id=458 | 忍辱就是压抑愤怒不出声——心里很生气但表面不表现。
Q24 | id=460 | 修忍辱有什么利益？
Q25 | id=461 | 精进度的核心是什么？
Q26 | id=462 | 精进分为哪几种？
Q27 | id=463 | 精进就是强迫自己多做修行——哪怕心里不想做也要做。
Q28 | id=465 | 精进有什么利益？
Q29 | id=466 | 静虑度（禅定）的核心是什么？
Q30 | id=467 | 为什么要修静虑（禅定）？
Q31 | id=468 | 禅定就是什么都不想让心完全空白。
Q32 | id=469 | 修禅定需要什么前提条件？
Q33 | id=470 | 禅定有什么利益？
Q34 | id=471 | 般若度（智慧度）的核心是什么？
Q35 | id=473 | 空性就是"一切都不存在"——世界是虚幻的。
Q36 | id=474 | 通达空性为什么能断除我执？
Q37 | id=475 | 修般若度需要什么基础？
Q38 | id=476 | "奢摩他"（止）是什么？
Q39 | id=477 | 修奢摩他需要什么条件？
Q40 | id=478 | 修奢摩他只是为了让心安静——证得止就够了不需要修观。
Q41 | id=479 | 修奢摩他时容易犯的"五种过失"是什么？
Q42 | id=480 | 奢摩他证得的标志是什么？
Q43 | id=481 | "毗钵舍那"（观）是什么？
Q44 | id=482 | 止和观的关系是什么？
Q45 | id=483 | 修观不需要止的基础——直接思惟空性就行。
Q46 | id=484 | 宗喀巴大师在毗钵舍那部分最强调什么？
Q47 | id=485 | 修观断烦恼的原理是什么？
